
***LMSC***

domain,ngram,accuracy
Pet_Supplies,5,93.89999999999999
Pet_Supplies,6,94.3
Pet_Supplies,7,94.6
Pet_Supplies,8,94.5
Pet_Supplies,9,94.39999999999999
Pet_Supplies,10,94.39999999999999

domain,ngram,accuracy
Shoes,1,66.2
Shoes,2,88.3
Shoes,3,94.6
Shoes,4,96.8
Shoes,5,97.6
Shoes,6,97.8
Shoes,7,98.0
Shoes,8,98.0
Shoes,9,97.89999999999999
Shoes,10,97.89999999999999

domain,ngram,accuracy
Software,1,65.5
Software,2,82.69999999999999
Software,3,88.4
Software,4,91.10000000000001
Software,5,93.30000000000001
Software,6,94.1
Software,7,94.3
Software,8,94.39999999999999
Software,9,94.39999999999999
Software,10,94.39999999999999

domain,ngram,accuracy
Sports_Outdoors,1,64.9
Sports_Outdoors,2,85.39999999999999
Sports_Outdoors,3,91.5
Sports_Outdoors,4,93.7
Sports_Outdoors,5,94.8
Sports_Outdoors,6,95.0
Sports_Outdoors,7,95.1
Sports_Outdoors,8,95.1
Sports_Outdoors,9,94.89999999999999
Sports_Outdoors,10,95.1

domain,ngram,accuracy
Tools_Home_Improvement,1,65.7
Tools_Home_Improvement,2,83.3
Tools_Home_Improvement,3,90.2
Tools_Home_Improvement,4,92.2
Tools_Home_Improvement,5,93.7
Tools_Home_Improvement,6,94.1
Tools_Home_Improvement,7,94.3
Tools_Home_Improvement,8,94.19999999999999
Tools_Home_Improvement,9,94.3
Tools_Home_Improvement,10,94.19999999999999

domain,ngram,accuracy
Toys_Games,1,66.9
Toys_Games,2,84.7
Toys_Games,3,90.7
Toys_Games,4,93.0
Toys_Games,5,94.39999999999999
Toys_Games,6,94.89999999999999
Toys_Games,7,95.1
Toys_Games,8,95.19999999999999
Toys_Games,9,95.1
Toys_Games,10,95.19999999999999

domain,ngram,accuracy
Video_Games,1,62.8
Video_Games,2,80.4
Video_Games,3,89.0
Video_Games,4,91.8
Video_Games,5,93.30000000000001
Video_Games,6,93.7
Video_Games,7,94.0
Video_Games,8,94.0
Video_Games,9,94.1
Video_Games,10,94.0

domain,ngram,accuracy
Watches,1,67.60000000000001
Watches,2,86.1
Watches,3,90.5
Watches,4,92.10000000000001
Watches,5,93.2
Watches,6,93.60000000000001
Watches,7,93.7
Watches,8,94.0
Watches,9,94.0
Watches,10,94.1

***OLM***

domain,ngram,accuracy
Amazon_Instant_Video,1,58.8
Amazon_Instant_Video,2,68.8
Amazon_Instant_Video,3,77.60000000000001
Amazon_Instant_Video,4,83.5
Amazon_Instant_Video,5,86.6
Amazon_Instant_Video,6,88.3
Amazon_Instant_Video,7,88.9
Amazon_Instant_Video,8,89.2
Amazon_Instant_Video,9,89.3
Amazon_Instant_Video,10,89.4

domain,ngram,accuracy
Art,1,59.5
Art,2,71.2
Art,3,78.2
Art,4,83.0
Art,5,86.2
Art,6,88.0
Art,7,88.7
Art,8,89.1
Art,9,89.3
Art,10,89.4

domain,ngram,accuracy
Automotive,1,59.5
Automotive,2,70.1
Automotive,3,77.7
Automotive,4,82.6
Automotive,5,86.0
Automotive,6,87.8
Automotive,7,88.6
Automotive,8,88.8
Automotive,9,88.9
Automotive,10,89.0

domain,ngram,accuracy
Baby,1,59.8
Baby,2,71.7
Baby,3,79.7
Baby,4,83.89999999999999
Baby,5,86.9
Baby,6,88.5
Baby,7,89.4
Baby,8,89.8
Baby,9,90.0
Baby,10,90.10000000000001

domain,ngram,accuracy
Beauty,1,59.3
Beauty,2,70.89999999999999
Beauty,3,77.7
Beauty,4,82.5
Beauty,5,85.8
Beauty,6,87.6
Beauty,7,88.6
Beauty,8,88.8
Beauty,9,89.1
Beauty,10,89.2

domain,ngram,accuracy
Books,1,57.3
Books,2,67.30000000000001
Books,3,76.5
Books,4,82.3
Books,5,85.5
Books,6,87.3
Books,7,88.3
Books,8,88.5
Books,9,88.7
Books,10,88.7

domain,ngram,accuracy
Cell_Phones_Accessories,1,57.199999999999996
Cell_Phones_Accessories,2,67.80000000000001
Cell_Phones_Accessories,3,74.7
Cell_Phones_Accessories,4,79.3
Cell_Phones_Accessories,5,82.8
Cell_Phones_Accessories,6,84.8
Cell_Phones_Accessories,7,85.8
Cell_Phones_Accessories,8,86.1
Cell_Phones_Accessories,9,86.4
Cell_Phones_Accessories,10,86.5

domain,ngram,accuracy
Clothing_Accessories,1,61.6
Clothing_Accessories,2,76.2
Clothing_Accessories,3,85.3
Clothing_Accessories,4,90.60000000000001
Clothing_Accessories,5,93.5
Clothing_Accessories,6,95.1
Clothing_Accessories,7,95.6
Clothing_Accessories,8,95.89999999999999
Clothing_Accessories,9,96.0
Clothing_Accessories,10,96.1

domain,ngram,accuracy
Electronics,1,58.9
Electronics,2,70.89999999999999
Electronics,3,78.60000000000001
Electronics,4,83.0
Electronics,5,85.8
Electronics,6,87.3
Electronics,7,88.1
Electronics,8,88.4
Electronics,9,88.6
Electronics,10,88.7

domain,ngram,accuracy
Gourmet_Foods,1,59.3
Gourmet_Foods,2,70.89999999999999
Gourmet_Foods,3,78.8
Gourmet_Foods,4,84.0
Gourmet_Foods,5,86.9
Gourmet_Foods,6,88.7
Gourmet_Foods,7,89.4
Gourmet_Foods,8,89.8
Gourmet_Foods,9,90.0
Gourmet_Foods,10,89.9

domain,ngram,accuracy
Health,1,59.099999999999994
Health,2,70.39999999999999
Health,3,78.7
Health,4,83.5
Health,5,86.9
Health,6,88.7
Health,7,89.60000000000001
Health,8,90.0
Health,9,90.0
Health,10,90.10000000000001

domain,ngram,accuracy
Home_Kitchen,1,60.4
Home_Kitchen,2,72.1
Home_Kitchen,3,80.0
Home_Kitchen,4,84.2
Home_Kitchen,5,87.2
Home_Kitchen,6,88.9
Home_Kitchen,7,89.7
Home_Kitchen,8,90.10000000000001
Home_Kitchen,9,90.2
Home_Kitchen,10,90.3

domain,ngram,accuracy
Industrial_Scientific,1,65.9
Industrial_Scientific,2,78.9
Industrial_Scientific,3,86.7
Industrial_Scientific,4,90.4
Industrial_Scientific,5,92.80000000000001
Industrial_Scientific,6,93.89999999999999
Industrial_Scientific,7,94.5
Industrial_Scientific,8,94.69999999999999
Industrial_Scientific,9,94.8
Industrial_Scientific,10,94.8

domain,ngram,accuracy
Jewelry,1,61.9
Jewelry,2,74.2
Jewelry,3,80.80000000000001
Jewelry,4,85.2
Jewelry,5,88.1
Jewelry,6,89.7
Jewelry,7,90.5
Jewelry,8,90.9
Jewelry,9,91.10000000000001
Jewelry,10,91.2

domain,ngram,accuracy
Kindle_Store,1,60.3
Kindle_Store,2,69.3
Kindle_Store,3,77.2
Kindle_Store,4,82.89999999999999
Kindle_Store,5,86.2
Kindle_Store,6,88.0
Kindle_Store,7,88.8
Kindle_Store,8,89.1
Kindle_Store,9,89.2
Kindle_Store,10,89.3

domain,ngram,accuracy
Movies_TV,1,58.599999999999994
Movies_TV,2,69.3
Movies_TV,3,77.9
Movies_TV,4,83.39999999999999
Movies_TV,5,86.8
Movies_TV,6,88.4
Movies_TV,7,89.1
