
***LMSC***

domain,ngram,accuracy
Shoes,5,98.4
Shoes,6,98.5
Shoes,7,98.4
Shoes,8,98.5
Shoes,9,98.5
Shoes,10,98.4

domain,ngram,accuracy
Software,1,78.9
Software,2,97.5
Software,3,96.6
Software,4,96.0
Software,5,95.89999999999999
Software,6,95.89999999999999
Software,7,95.7
Software,8,95.7
Software,9,95.5
Software,10,95.5

domain,ngram,accuracy
Sports_Outdoors,1,76.3
Sports_Outdoors,2,98.4
Sports_Outdoors,3,97.0
Sports_Outdoors,4,96.6
Sports_Outdoors,5,96.39999999999999
Sports_Outdoors,6,96.3
Sports_Outdoors,7,96.2
Sports_Outdoors,8,96.1
Sports_Outdoors,9,96.1
Sports_Outdoors,10,96.1

domain,ngram,accuracy
Tools_Home_Improvement,1,77.0
Tools_Home_Improvement,2,97.8
Tools_Home_Improvement,3,96.89999999999999
Tools_Home_Improvement,4,96.2
Tools_Home_Improvement,5,96.2
Tools_Home_Improvement,6,95.8
Tools_Home_Improvement,7,95.6
Tools_Home_Improvement,8,95.6
Tools_Home_Improvement,9,95.39999999999999
Tools_Home_Improvement,10,95.39999999999999

domain,ngram,accuracy
Toys_Games,1,78.10000000000001
Toys_Games,2,98.0
Toys_Games,3,96.8
Toys_Games,4,96.6
Toys_Games,5,96.6
Toys_Games,6,96.39999999999999
Toys_Games,7,96.2
Toys_Games,8,96.1
Toys_Games,9,96.1
Toys_Games,10,96.0

domain,ngram,accuracy
Video_Games,1,72.2
Video_Games,2,97.1
Video_Games,3,96.89999999999999
Video_Games,4,96.3
Video_Games,5,96.1
Video_Games,6,95.89999999999999
Video_Games,7,95.6
Video_Games,8,95.3
Video_Games,9,95.39999999999999
Video_Games,10,95.39999999999999

domain,ngram,accuracy
Watches,1,79.7
Watches,2,97.3
Watches,3,96.5
Watches,4,95.7
Watches,5,95.5
Watches,6,95.3
Watches,7,95.3
Watches,8,95.0
Watches,9,95.1
Watches,10,95.19999999999999

***OLM***

domain,ngram,accuracy
Amazon_Instant_Video,1,57.9
Amazon_Instant_Video,2,65.7
Amazon_Instant_Video,3,72.6
Amazon_Instant_Video,4,75.9
Amazon_Instant_Video,5,76.5
Amazon_Instant_Video,6,76.7
Amazon_Instant_Video,7,76.4
Amazon_Instant_Video,8,76.3
Amazon_Instant_Video,9,76.4
Amazon_Instant_Video,10,76.4

domain,ngram,accuracy
Art,1,56.2
Art,2,67.0
Art,3,72.2
Art,4,74.9
Art,5,75.7
Art,6,75.8
Art,7,76.0
Art,8,75.9
Art,9,75.9
Art,10,75.8

domain,ngram,accuracy
Automotive,1,58.4
Automotive,2,66.9
Automotive,3,71.1
Automotive,4,73.2
Automotive,5,74.1
Automotive,6,74.2
Automotive,7,74.2
Automotive,8,74.2
Automotive,9,74.0
Automotive,10,74.0

domain,ngram,accuracy
Baby,1,57.099999999999994
Baby,2,68.8
Baby,3,75.4
Baby,4,77.3
Baby,5,78.60000000000001
Baby,6,78.60000000000001
Baby,7,78.60000000000001
Baby,8,78.7
Baby,9,78.5
Baby,10,78.5

domain,ngram,accuracy
Beauty,1,57.49999999999999
Beauty,2,67.30000000000001
Beauty,3,71.89999999999999
Beauty,4,73.8
Beauty,5,74.6
Beauty,6,75.2
Beauty,7,75.2
Beauty,8,75.2
Beauty,9,75.4
Beauty,10,75.6

domain,ngram,accuracy
Books,1,56.3
Books,2,64.7
Books,3,71.2
Books,4,74.0
Books,5,74.7
Books,6,74.7
Books,7,74.4
Books,8,74.2
Books,9,73.9
Books,10,73.9

domain,ngram,accuracy
Cell_Phones_Accessories,1,55.2
Cell_Phones_Accessories,2,64.4
Cell_Phones_Accessories,3,68.5
Cell_Phones_Accessories,4,70.6
Cell_Phones_Accessories,5,70.89999999999999
Cell_Phones_Accessories,6,71.2
Cell_Phones_Accessories,7,71.2
Cell_Phones_Accessories,8,71.0
Cell_Phones_Accessories,9,71.1
Cell_Phones_Accessories,10,71.0

domain,ngram,accuracy
Clothing_Accessories,1,59.3
Clothing_Accessories,2,73.2
Clothing_Accessories,3,80.7
Clothing_Accessories,4,84.2
Clothing_Accessories,5,85.3
Clothing_Accessories,6,86.3
Clothing_Accessories,7,86.7
Clothing_Accessories,8,86.8
Clothing_Accessories,9,86.8
Clothing_Accessories,10,87.0

domain,ngram,accuracy
Electronics,1,57.3
Electronics,2,67.10000000000001
Electronics,3,72.5
Electronics,4,74.1
Electronics,5,74.7
Electronics,6,74.6
Electronics,7,74.6
Electronics,8,74.6
Electronics,9,74.5
Electronics,10,74.5

domain,ngram,accuracy
Gourmet_Foods,1,56.89999999999999
Gourmet_Foods,2,67.80000000000001
Gourmet_Foods,3,73.4
Gourmet_Foods,4,76.4
Gourmet_Foods,5,76.7
Gourmet_Foods,6,76.8
Gourmet_Foods,7,76.9
Gourmet_Foods,8,76.9
Gourmet_Foods,9,76.9
Gourmet_Foods,10,76.7

domain,ngram,accuracy
Health,1,58.199999999999996
Health,2,67.0
Health,3,72.7
Health,4,75.1
Health,5,76.3
Health,6,76.3
Health,7,76.1
Health,8,76.7
Health,9,76.7
Health,10,76.7

domain,ngram,accuracy
Home_Kitchen,1,59.5
Home_Kitchen,2,70.0
Home_Kitchen,3,75.8
Home_Kitchen,4,78.0
Home_Kitchen,5,78.5
Home_Kitchen,6,78.8
Home_Kitchen,7,78.5
Home_Kitchen,8,78.5
Home_Kitchen,9,78.60000000000001
Home_Kitchen,10,78.7

domain,ngram,accuracy
Industrial_Scientific,1,64.3
Industrial_Scientific,2,75.4
Industrial_Scientific,3,81.3
Industrial_Scientific,4,83.5
Industrial_Scientific,5,84.7
Industrial_Scientific,6,85.0
Industrial_Scientific,7,85.5
Industrial_Scientific,8,85.8
Industrial_Scientific,9,86.2
Industrial_Scientific,10,86.3

domain,ngram,accuracy
Jewelry,1,61.1
Jewelry,2,71.8
Jewelry,3,76.5
Jewelry,4,78.9
Jewelry,5,79.7
Jewelry,6,79.9
Jewelry,7,80.10000000000001
Jewelry,8,79.9
Jewelry,9,80.0
Jewelry,10,80.10000000000001

domain,ngram,accuracy
Kindle_Store,1,58.4
Kindle_Store,2,67.10000000000001
Kindle_Store,3,72.8
Kindle_Store,4,76.4
Kindle_Store,5,77.10000000000001
Kindle_Store,6,77.2
Kindle_Store,7,77.2
Kindle_Store,8,77.0
Kindle_Store,9,77.0
Kindle_Store,10,77.10000000000001

domain,ngram,accuracy
Movies_TV,1,57.4
Movies_TV,2,65.9
Movies_TV,3,72.8
Movies_TV,4,76.1
Movies_TV,5,77.4
Movies_TV,6,77.2
Movies_TV,7,77.2
Movies_TV,8,77.2
Movies_TV,9,77.10000000000001
Movies_TV,10,77.0

domain,ngram,accuracy
Music,1,57.4
Music,2,65.60000000000001
Music,3,71.6
Music,4,75.7
Music,5,76.4
Music,6,76.6
Music,7,76.4
Music,8,76.3
Music,9,76.3
Music,10,76.3

